id,amenity
1474977,Wifi
1474977,Refrigerator
1474977,Crib
1474977,Exterior security cameras on property
1474977,Bed linens
1474977,Cooking basics
1474977,Hot water
1474977,Kitchen
1474977,Private hot tub
1474977,Carbon monoxide alarm
1474977,Smoking allowed
1474977,Books and reading material
1474977,Pets allowed
1474977,Coffee maker
1474977,Beach access – Beachfront
1474977,Long term stays allowed
1474977,Extra pillows and blankets
1474977,Microwave
1474977,Cleaning available during stay
1474977,Hair dryer
1474977,Free parking on premises
1474977,Drying rack for clothing
1474977,Laundromat nearby
1474977,Hangers
1474977,Private patio or balcony
1474977,Toaster
1474977,Elevator
1474977,Free washer – In unit
1474977,Dishes and silverware
1583179,Washer
1583179,TV
1583179,Lake access
1583179,Room-darkening shades
1583179,Air conditioning
1583179,Stove
1583179,Essentials
1583179,Host greets you
1583179,Wine glasses
1583179,Shared gym in building
1583179,Clothing storage: wardrobe
1583179,Beach view
1583179,Shared sauna
1583179,Coffee
1583179,Iron
1583179,Wifi
1583179,Refrigerator
1583179,"Shared outdoor pool - available all year, open specific hours"
1583179,Freezer
1583179,Blender
1583179,Bed linens
1583179,Cooking basics
1583179,Ocean view
1583179,Baking sheet
1583179,Hot water
1583179,Free dryer – In unit
1583179,Sea view
1583179,Kitchen
1583179,Coffee maker
1583179,Extra pillows and blankets
1583179,Dining table
1583179,Cleaning available during stay
1583179,Hair dryer
1583179,Drying rack for clothing
1583179,Laundromat nearby
1583179,Hangers
1583179,Elevator
1583179,Waterfront
1583179,Single oven
1583179,Shared beach access
1583179,Dishes and silverware
1895099,Dedicated workspace
1895099,Private patio or balcony
1895099,Oven
1895099,Bed linens
1895099,Shampoo
1895099,Ocean view
1895099,Dining table
1895099,Garden view
1895099,Host greets you
1895099,Mosquito net
1895099,Paid parking lot off premises
1895099,Clothing storage: walk-in closet and dresser
1895099,Outdoor dining area
1895099,Laundromat nearby
1895099,Hot water
1895099,Hair dryer
1895099,Outdoor shower
1895099,Hangers
1895099,Wine glasses
1895099,Room-darkening shades
1895099,Blender
1895099,Luggage dropoff allowed
1895099,Private outdoor kitchen
1895099,Freezer
1895099,Essentials
1895099,Ceiling fan
1895099,Kitchen
1895099,49 inch HDTV with standard cable
1895099,City skyline view
1895099,Hot water kettle
1895099,Iron
1895099,Window AC unit
1895099,Carbon monoxide alarm
1895099,Smoke alarm
1895099,Eletrolux Duas Portas refrigerator
1895099,Cooktop 2 bocas gas stove
1895099,Private hot tub
1895099,Drying rack for clothing
1895099,Mountain view
1895099,Líquido body soap
1895099,Wifi
1895099,Dishes and silverware
1895099,Cooking basics
1895099,Microwave
1895099,Private entrance
1895099,Sun loungers
1895099,Beach view
1895099,Coffee maker: pour-over coffee
1895099,Lake access
1895099,Safe
1895099,Portable fans
1895099,Private backyard – Fully fenced
1895099,Hammock
1895099,Extra pillows and blankets
1895099,Outdoor furniture
1895099,Elevator
1895099,BBQ grill
1895099,Beach access – Beachfront
1895099,"Private indoor pool - heated, rooftop"
1589483,Air conditioning
1589483,Kitchen
1589483,Elevator
1589483,Wifi
1589483,Pets allowed
1589483,TV with standard cable
1721278,Microwave
1721278,Dedicated workspace
1721278,Washer
1721278,Hot water
1721278,Kitchen
1721278,Stove
1721278,Paid parking off premises
1721278,Bed linens
1721278,Host greets you
1721278,Essentials
1721278,Coffee maker
1721278,TV with standard cable
1721278,Dishes and silverware
1721278,Iron
1721278,Refrigerator
1721278,Oven
1721278,Fire extinguisher
1721278,Window guards
1721278,Air conditioning
1721278,Wifi
1721278,Long term stays allowed
1721278,Hair dryer
1721278,Hangers
1721278,Cooking basics
1721278,Heating
1721278,Shampoo
1728790,Bed linens
1728790,Shampoo
1728790,Shower gel
1728790,Brastemp single oven
1728790,Dining table
1728790,Gas stove
1728790,Paid parking off premises
1728790,Hot water
1728790,Hair dryer
1728790,Dryer
1728790,Hangers
1728790,Coffee maker
1728790,Wine glasses
1728790,Room-darkening shades
1728790,Blender
1728790,Refrigerator
1728790,Freezer
1728790,Essentials
1728790,Pets allowed
1728790,Kitchen
1728790,Hot water kettle
1728790,Long term stays allowed
1728790,Iron
1728790,Smoke alarm
1728790,Free washer – In unit
1728790,Wifi
1728790,Dishes and silverware
1728790,Cooking basics
1728790,Toaster
1728790,Microwave
1728790,Shared patio or balcony
1728790,Extra pillows and blankets
1728790,Elevator
1728790,40 inch HDTV with standard cable
1728790,Luggage dropoff allowed
1728790,Air conditioning
2011938,Dedicated workspace
2011938,Smart lock
2011938,Oven
2011938,Shared hot tub
2011938,TV with standard cable
2011938,Gym
2011938,Clothing storage
2011938,Dining table
2011938,Washer
2011938,Hair dryer
2011938,Dryer
2011938,Hangers
2011938,Coffee maker
2011938,Room-darkening shades
2011938,Refrigerator
2011938,Essentials
2011938,Kitchen
2011938,Iron
2011938,Stove
2011938,Shared pool
2011938,Wifi
2011938,Dishes and silverware
2011938,Cooking basics
2011938,Microwave
2011938,Exercise equipment
2011938,Free parking on premises
2011938,Outdoor furniture
2011938,Elevator
2011938,Beach access – Beachfront
2011938,Self check-in
2011938,Air conditioning
2037205,Pets allowed
2037205,Kitchen
2037205,TV with standard cable
2037205,Free parking on premises
2037205,Elevator
2037205,Washer
2037205,Air conditioning
2037205,Wifi
2046481,Dishes and silverware
2046481,Essentials
2046481,Building staff
2046481,Hot water
2046481,Hair dryer
2046481,TV with standard cable
2046481,Fire extinguisher
2046481,Kitchen
2046481,Coffee maker
2046481,Iron
2046481,Carbon monoxide alarm
2046481,Refrigerator
2046481,Smoke alarm
2046481,AC - split type ductless system
2046481,Self check-in
2046481,Wifi
2050381,Dedicated workspace
2050381,Oven
2050381,TV with standard cable
2050381,Bed linens
2050381,Dining table
2050381,Bidet
2050381,Heating
2050381,Outdoor dining area
2050381,Laundromat nearby
2050381,Hot water
2050381,Hair dryer
2050381,Sound system with aux
2050381,Outdoor shower
2050381,Patio or balcony
2050381,Hangers
2050381,Wine glasses
2050381,Room-darkening shades
2050381,Blender
2050381,Luggage dropoff allowed
2050381,AC - split type ductless system
2050381,Refrigerator
2050381,Essentials
2050381,Ceiling fan
2050381,Kitchen
2050381,Bread maker
2050381,Hot water kettle
2050381,Long term stays allowed
2050381,Iron
2050381,Pocket wifi
2050381,Free washer – In unit
2050381,Books and reading material
2050381,Wifi
2050381,Dishes and silverware
2050381,Cooking basics
2050381,Toaster
2050381,Clothing storage: wardrobe
2050381,Microwave
2050381,Coffee maker: pour-over coffee
2050381,Private backyard – Fully fenced
2050381,Hammock
2050381,Cleaning products
2050381,Extra pillows and blankets
2050381,Outdoor furniture
2050381,Brastemp stainless steel gas stove
2050381,Free parking on premises
2050381,Elevator
2050381,Beach access – Beachfront
2254642,TV with standard cable
2254642,Smoking allowed
2254642,Bed linens
2254642,Host greets you
2254642,Washer
2254642,Paid parking off premises
